AverageLoadCurve_run300863_chan381
Vbias_V 	 Vbol_V 	 Ibol_A 	 Rbol_ohm 	 PAmp_mV 	 RMS_mV 	 SNR 	 APAmp_mV 	 OFRMS_mV 	 OFSNR 	 Gain 
0.015877 	 0.00182132 	 2.34261e-13 	 7.77472e+09 	 16.3407 	 0.188566 	 86.6578 	 1 	 1 	 1 	 145
0.130047 	 0.00922133 	 2.01376e-12 	 4.57916e+09 	 98.5557 	 0.399836 	 246.49 	 1 	 1 	 1 	 145
0.251835 	 0.0129407 	 3.98157e-12 	 3.25016e+09 	 156.384 	 0.271605 	 575.78 	 1 	 1 	 1 	 145
0.39169 	 0.0156044 	 6.26809e-12 	 2.4895e+09 	 203.714 	 0.226827 	 898.1 	 1 	 1 	 1 	 145
0.533096 	 0.0156266 	 8.62449e-12 	 1.81189e+09 	 238.85 	 0.194428 	 1228.47 	 1 	 1 	 1 	 145
0.653092 	 0.0185289 	 1.05761e-11 	 1.75196e+09 	 261.108 	 0.185419 	 1408.2 	 1 	 1 	 1 	 145
0.777143 	 0.0194499 	 1.26282e-11 	 1.54019e+09 	 278.716 	 0.182094 	 1530.62 	 1 	 1 	 1 	 145
0.913808 	 0.0202204 	 1.48931e-11 	 1.3577e+09 	 293.308 	 0.157406 	 1863.38 	 1 	 1 	 1 	 145
1.03468 	 0.0207898 	 1.68982e-11 	 1.2303e+09 	 303.002 	 0.206505 	 1467.29 	 1 	 1 	 1 	 145
1.15713 	 0.0194115 	 1.8962e-11 	 1.02371e+09 	 310.057 	 0.155722 	 1991.1 	 1 	 1 	 1 	 145
1.29938 	 0.0216551 	 2.12955e-11 	 1.01689e+09 	 315.926 	 0.165832 	 1905.1 	 1 	 1 	 1 	 145
1.43795 	 0.0219946 	 2.35993e-11 	 9.32002e+08 	 318.575 	 0.155501 	 2048.7 	 1 	 1 	 1 	 145
1.56193 	 0.0204158 	 2.56919e-11 	 7.9464e+08 	 320.063 	 0.152733 	 2095.57 	 1 	 1 	 1 	 145
1.67991 	 0.0224397 	 2.76246e-11 	 8.12311e+08 	 319.925 	 0.162166 	 1972.82 	 1 	 1 	 1 	 145
1.82392 	 0.0226134 	 3.00218e-11 	 7.53232e+08 	 319.839 	 0.152382 	 2098.93 	 1 	 1 	 1 	 145
1.96283 	 0.0227244 	 3.23352e-11 	 7.02777e+08 	 315.206 	 0.146938 	 2145.16 	 1 	 1 	 1 	 145
2.08547 	 0.0227974 	 3.43779e-11 	 6.6314e+08 	 311.541 	 0.151366 	 2058.2 	 1 	 1 	 1 	 145
2.20604 	 0.022848 	 3.63866e-11 	 6.27922e+08 	 307.571 	 0.147425 	 2086.29 	 1 	 1 	 1 	 145
2.34844 	 0.0228594 	 3.87597e-11 	 5.8977e+08 	 302.009 	 0.173105 	 1744.66 	 1 	 1 	 1 	 145
2.46685 	 0.022841 	 4.07334e-11 	 5.60744e+08 	 297.334 	 0.170298 	 1745.96 	 1 	 1 	 1 	 145
2.58882 	 0.0227922 	 4.27672e-11 	 5.32937e+08 	 292.319 	 0.179842 	 1625.42 	 1 	 1 	 1 	 145
2.73362 	 0.0208421 	 4.52129e-11 	 4.60977e+08 	 287.441 	 6.74299 	 42.6282 	 1 	 1 	 1 	 145
2.87202 	 0.0207112 	 4.75218e-11 	 4.35825e+08 	 285.035 	 8.8639 	 32.1568 	 1 	 1 	 1 	 145
2.99063 	 0.0224646 	 4.94694e-11 	 4.54111e+08 	 277.862 	 393.825 	 0.705546 	 1 	 1 	 1 	 145
