AverageLoadCurve_run301301_chan488
Vbias_V 	 Vbol_V 	 Ibol_A 	 Rbol_ohm 	 PAmp_mV 	 RMS_mV 	 SNR 	 APAmp_mV 	 OFRMS_mV 	 OFSNR 	 Gain 
-0.00134 	 -2.09556e-05 	 -2.19841e-14 	 9.53218e+08 	 1 	 0.292246 	 3.42177e+07 	 1 	 1 	 1 	 206
0.427043 	 0.008444 	 6.97665e-12 	 1.21032e+09 	 16.1838 	 0.257049 	 62.9599 	 16.3193 	 0.159543 	 100.279 	 206
0.857792 	 0.0128074 	 1.40831e-11 	 9.09416e+08 	 24.9155 	 0.24055 	 103.577 	 25.034 	 0.12926 	 191.471 	 206
1.2888 	 0.0155775 	 2.12203e-11 	 7.34086e+08 	 30.3773 	 0.236385 	 128.508 	 30.4813 	 0.128717 	 233.118 	 206
1.71721 	 0.0175091 	 2.83283e-11 	 6.1808e+08 	 33.768 	 0.226683 	 148.966 	 33.8699 	 0.116816 	 288.525 	 206
2.14797 	 0.0189604 	 3.54835e-11 	 5.34344e+08 	 36.224 	 0.213661 	 169.539 	 36.3213 	 0.105536 	 341.496 	 206
2.57327 	 0.0200616 	 4.25535e-11 	 4.71444e+08 	 37.7531 	 0.207055 	 182.334 	 37.8674 	 0.0957169 	 393.396 	 206
3.00435 	 0.0209444 	 4.97235e-11 	 4.21218e+08 	 38.6224 	 0.202016 	 191.185 	 38.7005 	 0.086557 	 445.434 	 206
3.42962 	 0.0216429 	 5.67996e-11 	 3.81039e+08 	 39.1229 	 0.201037 	 194.605 	 39.2372 	 0.100942 	 385.803 	 206
3.8598 	 0.0222266 	 6.39595e-11 	 3.4751e+08 	 39.2988 	 0.193856 	 202.721 	 39.4054 	 0.0713419 	 548.652 	 206
4.28668 	 0.0227017 	 7.10663e-11 	 3.19444e+08 	 39.2982 	 0.191871 	 204.815 	 39.5436 	 0.067389 	 582.762 	 206
4.71468 	 0.0230984 	 7.81931e-11 	 2.95402e+08 	 39.0947 	 0.204376 	 191.288 	 39.182 	 0.0671754 	 580.966 	 206
5.14836 	 0.0234371 	 8.54154e-11 	 2.74389e+08 	 38.7802 	 0.210968 	 183.82 	 38.8927 	 0.0651234 	 594.033 	 206
5.57974 	 0.0237118 	 9.26004e-11 	 2.56066e+08 	 38.389 	 0.203958 	 188.22 	 38.5323 	 0.0634856 	 602.805 	 206
6.00551 	 0.0239428 	 9.96928e-11 	 2.40166e+08 	 37.7785 	 0.212851 	 177.488 	 37.9372 	 0.0588622 	 640.868 	 206
6.43692 	 0.0241433 	 1.0688e-10 	 2.25892e+08 	 37.2477 	 0.193118 	 192.875 	 37.3217 	 0.0511074 	 726.98 	 206
6.86538 	 0.0243101 	 1.14018e-10 	 2.13213e+08 	 36.3953 	 0.195102 	 186.545 	 36.4995 	 0.0448371 	 808.577 	 206
7.29174 	 0.0244477 	 1.21122e-10 	 2.01844e+08 	 35.6936 	 0.196418 	 181.723 	 35.8086 	 0.0449471 	 792.775 	 206
7.7224 	 0.0245617 	 1.28297e-10 	 1.91444e+08 	 34.8773 	 0.183101 	 190.482 	 34.9874 	 0.0420324 	 827.9 	 206
8.14732 	 0.0246484 	 1.35378e-10 	 1.82071e+08 	 34.2653 	 0.181205 	 189.097 	 34.4067 	 0.0359266 	 948.595 	 206
8.57808 	 0.0247215 	 1.42556e-10 	 1.73416e+08 	 33.3569 	 0.176685 	 188.793 	 33.4754 	 0.0341012 	 976.692 	 206
9.00598 	 0.024772 	 1.49687e-10 	 1.65493e+08 	 32.3586 	 0.185035 	 174.878 	 32.4885 	 0.0322992 	 1000.55 	 206
