Channel 		 par0 		 par1 		 Rbolmin 		 Rbolmax
367		1		7.45124e-21		2.70917e+06		1.16788e+07
372		1		1.3182e-20		2.50264e+06		1.0544e+07
374		1		6.97479e-21		3.07808e+06		1.16756e+07
375		1		6.61744e-22		2.64839e+06		1.20807e+07
377		1		1.51672e-20		2.74771e+06		1.14678e+07
378		1		1.33805e-20		2.55512e+06		1.01339e+07
379		1		4.61898e-21		2.37041e+06		8.99881e+06
380		1		3.25578e-21		2.81372e+06		1.26037e+07
382		1		2.5808e-21		1.41079e+06		1.20825e+07
383		1		3.91753e-21		2.58378e+06		9.96772e+06
384		1		1.16467e-21		2.39759e+06		9.07136e+06
385		1		6.28657e-21		2.26482e+06		9.10425e+06
387		1		8.69532e-21		2.6785e+06		1.11349e+07
388		1		8.45709e-21		2.2255e+06		7.66706e+06
389		1		2.23008e-20		2.8821e+06		1.25469e+07
417		0.00963147		1.41573e-09		2.68563e+06		1.21675e+07
418		0.00732754		1.69403e-09		3.13832e+06		1.49384e+07
419		0.00711767		2.22424e-09		2.26203e+06		7.48074e+06
420		0.00746672		2.14051e-09		2.68547e+06		1.02875e+07
421		0.00928433		1.53944e-09		2.80321e+06		1.01144e+07
422		0.00987002		1.39283e-09		2.49566e+06		9.29147e+06
423		0.00808347		1.79651e-09		2.7362e+06		1.18487e+07
424		0.00722439		2.15254e-09		2.47807e+06		8.96203e+06
425		0.00430495		1.9096e-09		3.08344e+06		1.52746e+07
426		0.00809789		1.76208e-09		2.62034e+06		1.1174e+07
427		0.0101227		1.62683e-09		2.28462e+06		7.68884e+06
428		0.0106366		1.68001e-09		1.39337e+06		5.86576e+06
429		0.0023831		3.08747e-09		2.84574e+06		1.1971e+07
430		0.00625837		1.50548e-09		2.84889e+06		1.3577e+07
431		0.00496869		1.35335e-09		3.34024e+06		1.232e+07
432		0.00574415		1.98841e-09		3.08543e+06		1.31688e+07
433		0.00621413		1.55033e-09		2.65101e+06		1.10328e+07
434		0.00760011		1.14382e-09		2.66159e+06		1.10947e+07
435		0.00787179		1.14379e-09		2.77845e+06		1.12383e+07
436		0.00597149		1.43349e-09		2.58974e+06		9.84997e+06
437		0.00725378		1.57285e-09		1.27067e+06		1.08382e+07
438		0.00720601		1.29988e-09		1.21707e+06		9.07377e+06
439		0.00879032		1.412e-09		2.50663e+06		9.90905e+06
441		0.0095009		1.54459e-09		1.84069e+06		4.82397e+06
442		0.000641077		4.39721e-09		2.69012e+06		1.05928e+07
469		0.00431275		2.12448e-09		4.34151e+06		2.57808e+07
470		0.00181474		1.63961e-09		6.44919e+06		2.55955e+07
471		-0.00142457		1.86592e-09		5.61006e+06		2.65004e+07
472		-0.00129752		1.68254e-09		6.73558e+06		3.40757e+07
473		0.0035607		1.89224e-09		3.5157e+06		2.111e+07
474		0.00141092		1.48223e-09		6.52427e+06		2.67812e+07
475		0.0027476		1.92258e-09		3.77846e+06		2.50067e+07
476		-0.00451431		3.03018e-09		4.38373e+06		2.30296e+07
477		0.00345045		1.74895e-09		1.78055e+06		1.97923e+07
478		0.00104195		2.43176e-09		4.61134e+06		1.8162e+07
479		-0.00101137		2.55301e-09		4.41408e+06		2.32476e+07
480		0.00125746		3.3021e-09		1.92269e+06		2.14764e+07
481		0.000753197		2.8216e-09		2.16046e+06		2.13264e+07
482		0.00391978		2.6157e-09		4.09842e+06		2.21136e+07
483		0.00724776		2.64436e-09		3.36913e+06		1.61066e+07
484		0.00256204		3.20652e-09		4.02357e+06		2.00586e+07
485		0.00292092		3.42748e-09		3.53849e+06		1.76478e+07
486		0.0234054		1.35002e-09		3.54086e+06		2.20043e+07
487		0.00359704		3.54141e-09		1.687e+06		1.68353e+07
488		0.00162819		3.60225e-09		4.22866e+06		2.0503e+07
489		-0.00942712		5.7411e-09		3.73943e+06		1.98999e+07
490		0.00982366		2.3913e-09		5.53558e+06		2.67933e+07
491		0.0580187		2.91139e-09		1.88165e+06		2.03913e+07
492		-0.0223516		7.03461e-09		5.67121e+06		2.39263e+07
493		-0.003186		4.33373e-09		3.70238e+06		1.9831e+07
494		0.000924854		5.32451e-09		4.12608e+06		2.35903e+07
